dataset,seed,scope,variant,n_users,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20
sports,2024,Overall,FIR-MIC full,1693,0.0596574128765505,0.032722312799884405,0.024607159264572142,0.09509746012994684,0.04166855280364718,0.02704995821207814
sports,2024,Q4-high,Past-only,423,0.014184397163120567,0.0070697035942405,0.004971105857630681,0.02364066193853428,0.009376630182568658,0.005558121593791181
sports,2024,Q4-high,Future-only,423,0.01182033096926714,0.006190447661872141,0.004478592067244549,0.026004728132387706,0.009770791596616323,0.005460850961806103
sports,2024,Q4-high,Past+Future,423,0.014184397163120567,0.0070394975337702516,0.004934519118916281,0.02364066193853428,0.009326484988745285,0.005506896674309888
sports,2024,Q4-high,FIR-MIC full,423,0.0,0.0,0.0,0.0,0.0,0.0
sports,2025,Overall,Past-only,1693,0.01594802126402835,0.00619912040085247,0.003309378486578722,0.027170702894270527,0.009041850237518717,0.004092712156877295
sports,2025,Overall,Future-only,1693,0.00767867690490254,0.0030997882519969416,0.0017202017645018236,0.014766686355581808,0.00488028132002267,0.0022017621153289967
sports,2025,Overall,Past+Future,1693,0.013585351447135264,0.005056094455335022,0.0025560430905971366,0.02244536326048435,0.007266900998238617,0.0031489890792857477
sports,2025,Overall,FIR-MIC full,1693,0.06142941523922032,0.032562552440516035,0.023854995827825128,0.09686946249261666,0.04138352262669651,0.02620388861169969
sports,2025,Q4-high,Past-only,423,0.014184397163120567,0.005537416491236761,0.0029156816390858947,0.016548463356973995,0.006196856079064491,0.003130596747618024
sports,2025,Q4-high,Future-only,423,0.016548463356973995,0.006378331274620262,0.003338774438065218,0.026004728132387706,0.00883423130836572,0.004044097483813796
sports,2025,Q4-high,Past+Future,423,0.016548463356973995,0.006342760092911867,0.0032928064842958457,0.016548463356973995,0.006342760092911867,0.0032928064842958457
sports,2025,Q4-high,FIR-MIC full,423,0.0,0.0,0.0,0.0,0.0,0.0
sports,2026,Overall,Past-only,1693,0.027170702894270527,0.014033588504376353,0.010099007116136472,0.05138806851742469,0.02008460576473502,0.011722314653570471
sports,2026,Overall,Future-only,1693,0.008269344359125812,0.004371812686833594,0.003155148651309313,0.017129356172474897,0.006607942147774062,0.0037658726975417995
sports,2026,Overall,Past+Future,1693,0.024217365623154165,0.012117002777099307,0.008530691268434918,0.044300059066745424,0.01720915458966563,0.009937294261908088
sports,2026,Overall,FIR-MIC full,1693,0.05906674542232723,0.032148545421548304,0.024029852145622966,0.09214412285883047,0.04043875505936487,0.026267281771666977
sports,2026,Q4-high,Past-only,423,0.01182033096926714,0.006030481410373857,0.0042778340650681075,0.02127659574468085,0.008287736618966432,0.004828386499554406
sports,2026,Q4-high,Future-only,423,0.016548463356973995,0.008830597787377794,0.006382978723404255,0.03546099290780142,0.013760507426477197,0.007811678733664548
sports,2026,Q4-high,Past+Future,423,0.014184397163120567,0.007103828608712716,0.005003940110323089,0.018912529550827423,0.008207344274259756,0.005259701657611325
sports,2026,Q4-high,FIR-MIC full,423,0.0,0.0,0.0,0.0,0.0,0.0
sports,2027,Overall,Past-only,1693,0.014766686355581808,0.007260244223264302,0.005030752210315116,0.029533372711163616,0.010895755880841436,0.00597895510328603
sports,2027,Overall,Future-only,1693,0.005906674542232723,0.002919010424068519,0.0020155354916134597,0.013585351447135264,0.004822393083310866,0.0025184080843973426
sports,2027,Overall,Past+Future,1693,0.013585351447135264,0.006732340037346479,0.004687133762739197,0.02362669816893089,0.009188712126977498,0.005319201856139603
sports,2027,Overall,FIR-MIC full,1693,0.060838747784997045,0.03340356739466841,0.025100554102326103,0.09568812758417011,0.04210585790937174,0.0274321885108378
sports,2027,Q4-high,Past-only,423,0.01182033096926714,0.004115738819440041,0.0019006341701377162,0.014184397163120567,0.0046539663577307095,0.002018837479830388
sports,2027,Q4-high,Future-only,423,0.014184397163120567,0.00776140814036589,0.005801343389995873,0.028368794326241134,0.011310435588674209,0.006757621361951336
sports,2027,Q4-high,Past+Future,423,0.009456264775413711,0.003853221753137365,0.002127659574468085,0.016548463356973995,0.005496609374797029,0.0025031289111389237
sports,2027,Q4-high,FIR-MIC full,423,0.0,0.0,0.0,0.0,0.0,0.0
sports,2028,Overall,Past-only,1693,0.029533372711163616,0.013879744211683958,0.00913190635576932,0.05729474305965741,0.020951728054200786,0.011101404576769355
sports,2028,Overall,Future-only,1693,0.0035440047253396337,0.001947732146778806,0.0014576828959581467,0.011222681630242174,0.0038082075243401525,0.0019260495926388447
sports,2028,Overall,Past+Future,1693,0.0318960425280567,0.01419759989834604,0.008840088506361395,0.06202008269344359,0.021803865478648318,0.010921160222759962
sports,2028,Overall,FIR-MIC full,1693,0.05670407560543414,0.031241555419287227,0.0236067748619432,0.0939161252215003,0.04069279611167799,0.02622331717575016
sports,2028,Q4-high,Past-only,423,0.0,0.0,0.0,0.004728132387706856,0.0011774431404345906,0.00031318825645066783
sports,2028,Q4-high,Future-only,423,0.004728132387706856,0.0024061053446950333,0.0016548463356973995,0.02127659574468085,0.006488633658931706,0.0027223890034859884
sports,2028,Q4-high,Past+Future,423,0.0,0.0,0.0,0.004728132387706856,0.0011475388022851969,0.0002889414236931967
sports,2028,Q4-high,FIR-MIC full,423,0.0,0.0,0.0,0.0,0.0,0.0
