dataset,group,model,n_seeds,n_users_mean,n_users_sd,average_history_length_mean,average_history_length_sd,Recall@10_mean,Recall@10_sd,NDCG@10_mean,NDCG@10_sd,MRR@10_mean,MRR@10_sd,Recall@20_mean,Recall@20_sd,NDCG@20_mean,NDCG@20_sd,MRR@20_mean,MRR@20_sd,average_interest_diversity_mean,average_interest_diversity_sd
clothing,2-3,FIR-MIC,10,1517.0,0.0,2.3269611074489123,0.0,0.07284113381674356,0.0021807771084683793,0.04724321897996537,0.0007128428145132613,0.03932952987831037,0.0006032582285888327,0.09986816084377059,0.002371680196102275,0.05400765832550305,0.0008135160771796746,0.04115025746963374,0.0006642374808889713,0.5775646072816676,0.0
clothing,2-3,Multi-interest per-item,10,1517.0,0.0,2.3269611074489123,0.0,0.07567567567567567,0.001578403427472464,0.046273672406015154,0.000812862301760582,0.03735173326636741,0.0007698144883261119,0.10283454185893211,0.0031842181380332766,0.05309849091773398,0.0008592574680313599,0.039203498215806605,0.0007236169904294173,0.5775646072816676,0.0
clothing,4-5,FIR-MIC,10,281.0,0.0,4.373665480427047,9.362222582871203e-16,0.08327402135231317,0.006957474874787746,0.0452238313959289,0.0028666950917236203,0.03386558775348811,0.0031424029693497414,0.11743772241992881,0.006916906162331317,0.053976048813550295,0.0018821648922357334,0.03632552802799764,0.0028709260895762906,0.5895858407020569,0.0
clothing,4-5,Multi-interest per-item,10,281.0,0.0,4.373665480427047,9.362222582871203e-16,0.07580071174377224,0.006060279845525408,0.04316523446023249,0.003222745414501939,0.03325651019601198,0.003494703841024413,0.11103202846975088,0.005762732052902072,0.05206134406698981,0.002948485180405024,0.0356917965033056,0.0034478291121257335,0.5895858407020569,0.0
clothing,>=6,FIR-MIC,10,148.0,0.0,7.5472972972972965,9.362222582871203e-16,0.0445945945945946,0.007263295268737433,0.028810231422966803,0.0024631582809083808,0.024266141141141142,0.0012194961899991564,0.08445945945945946,0.010197505786190785,0.039064432057032486,0.0023361848063488174,0.027177072806910264,0.0007781916115649299,0.5897482301335077,0.0
clothing,>=6,Multi-interest per-item,10,148.0,0.0,7.5472972972972965,9.362222582871203e-16,0.053378378378378374,0.008693810389918372,0.030726102513366126,0.004294470774439043,0.024161572286572282,0.0038124008614150427,0.09729729729729729,0.011125305437142765,0.04164145307144751,0.004420476196735368,0.027059136233865334,0.003853600705407638,0.5897482301335077,0.0
baby,1,FIR-MIC,10,87.0,0.0,1.0,0.0,0.035632183908045977,0.0036348019082395166,0.017013770916584146,0.0017276318069557866,0.011107006020799124,0.0012925229098349222,0.060919540229885064,0.012176435695073335,0.023197423365242893,0.002549128603936863,0.012693552547828196,0.0009702165048192973,,
baby,1,Multi-interest per-item,10,87.0,0.0,1.0,0.0,0.04022988505747126,0.008127664151569512,0.015971745498957968,0.0031852276238064255,0.008661740558292283,0.002097454241458225,0.08275862068965517,0.017806819982562835,0.026463120511048176,0.003926144422960464,0.011401958997907542,0.0016004443405991328,,
baby,2-3,FIR-MIC,10,408.0,0.0,2.321078431372549,0.0,0.04877450980392156,0.0018084921259132875,0.02504007759266489,0.001059888909551,0.018012760659819483,0.001131075862347454,0.07352941176470587,0.003653705845587891,0.03121228332242914,0.0014814915850415635,0.019659827501722193,0.0012065303355182524,0.7078592446176153,0.0
baby,2-3,Multi-interest per-item,10,408.0,0.0,2.321078431372549,0.0,0.03406862745098039,0.006781537898512136,0.01587201141307517,0.0035995913742939327,0.010486791938997823,0.002718363502170454,0.058333333333333334,0.010125446656751415,0.021911232713973605,0.004334209869962939,0.01209553542908692,0.0029105142005982423,0.7078592446176153,0.0
baby,4-5,FIR-MIC,10,79.0,0.0,4.329113924050633,0.0,0.07594936708860758,1.4628472785736255e-17,0.05239812207711374,0.0028657475174700474,0.044695599758890904,0.003755456475805659,0.11392405063291138,0.0059671458327978716,0.061792776869389554,0.0035934540746911645,0.04716746692169939,0.0038511288195526142,0.7120863282227818,0.0
baby,4-5,Multi-interest per-item,10,79.0,0.0,4.329113924050633,0.0,0.0670886075949367,0.014677238085169695,0.03554945808837825,0.004743679063411183,0.025950874020494275,0.00453074846959482,0.10759493670886075,0.03114941573888903,0.045706825325587994,0.007683268571045332,0.02869494625373059,0.004509079703954886,0.7120863282227818,0.0
baby,>=6,FIR-MIC,10,34.0,0.0,7.617647058823531,1.8724445165742407e-15,0.011764705882352941,0.020564879375885324,0.003478409869821743,0.006143741438335785,0.00125,0.0022476973564922306,0.038235294117647055,0.014207232104107292,0.010195653645398553,0.0037762394900317645,0.0031029754559166326,0.0013703543998016504,0.7146637001458336,0.0
baby,>=6,Multi-interest per-item,10,34.0,0.0,7.617647058823531,1.8724445165742407e-15,0.044117647058823525,0.03176833675690128,0.015479630279195123,0.010555014599613438,0.007291083099906628,0.005322754613317952,0.07352941176470588,0.02079725827019258,0.02285270563573663,0.007858420623681346,0.0092847250308323,0.004740921827129893,0.7146637001458336,0.0
